run_mode,suite_name,environment_name,environment_tier,sample_size,state_dimension,coverage_setting,policy_shift_setting,reward_noise_setting,misspecification_setting,baseline_learner,learner_variant,learner_quality_regime,calibration_difficulty,main_figure_role,calibrated,calibration_protocol,calibrator,calibration_target,split_fraction,train_fraction,coverage_stratum,n_replications,mean_coverage_stratum_error,coverage_stratum_error_mc_se,mean_coverage_stratum_calibration_error,coverage_stratum_calibration_error_mc_se,mean_coverage_stratum_count,mean_coverage_stratum_ratio,failure_rate,eligible_fraction
final,mechanism_distortion_sweep,nonlinear_discrete_action,mechanism_diagnostic,400,6,moderate,0.55,0.0,well_specified_linear,random_feature_fqe,random_feature_fqe_monotone_saturation_distorted,misspecified,monotone_miscalibrated,mechanism,True,cross,linear,value_bellman,0.8,0.8,1,100,0.1045747067584195,0.0066578666146144844,0.1045747067584195,0.0066578666146144844,100.0,0.8306433073167038,0.0,1.0
final,mechanism_distortion_sweep,nonlinear_discrete_action,mechanism_diagnostic,400,6,moderate,0.55,0.0,well_specified_linear,random_feature_fqe,random_feature_fqe_monotone_saturation_distorted,misspecified,monotone_miscalibrated,mechanism,True,cross,linear,value_bellman,0.8,0.8,2,100,0.1072618173725692,0.0064806787655615206,0.1072618173725692,0.0064806787655615206,100.0,0.9890347269677203,0.0,1.0
final,mechanism_distortion_sweep,nonlinear_discrete_action,mechanism_diagnostic,400,6,moderate,0.55,0.0,well_specified_linear,random_feature_fqe,random_feature_fqe_monotone_saturation_distorted,misspecified,monotone_miscalibrated,mechanism,True,cross,linear,value_bellman,0.8,0.8,3,100,0.09807777157885168,0.006741559256844744,0.09807777157885168,0.006741559256844744,100.0,1.1140860740406224,0.0,1.0
final,mechanism_distortion_sweep,nonlinear_discrete_action,mechanism_diagnostic,400,6,moderate,0.55,0.0,well_specified_linear,random_feature_fqe,random_feature_fqe_monotone_saturation_distorted,misspecified,monotone_miscalibrated,mechanism,True,cross,linear,value_bellman,0.8,0.8,4,100,0.11854764704843948,0.008627191298609536,0.11854764704843948,0.008627191298609536,100.0,1.5583868963704581,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_affine_ridge_light,misspecified,affine_miscalibrated,main,False,uncalibrated_all_data,none,value_bellman,1.0,1.0,0,100,1.692206057735635,0.2869381438389201,1.6477777205078994,0.2841208131657795,80.0,0.405329645540658,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_affine_ridge_light,misspecified,affine_miscalibrated,main,False,uncalibrated_all_data,none,value_bellman,1.0,1.0,1,100,1.1562165020942856,0.16279636063422648,1.1112432892009683,0.16255245856487982,80.0,0.7466196372534409,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_affine_ridge_light,misspecified,affine_miscalibrated,main,False,uncalibrated_all_data,none,value_bellman,1.0,1.0,2,100,0.8858892690107169,0.0970748898484006,0.8500376203799579,0.09811454501578197,80.0,0.9495664681179267,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_affine_ridge_light,misspecified,affine_miscalibrated,main,False,uncalibrated_all_data,none,value_bellman,1.0,1.0,3,100,0.8714381977572414,0.08320713229838397,0.8323729110187206,0.0839257899933259,80.0,1.1098148266528403,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_affine_ridge_light,misspecified,affine_miscalibrated,main,False,uncalibrated_all_data,none,value_bellman,1.0,1.0,4,100,0.9690542479177335,0.09013944681644497,0.9281185892882752,0.08992190482930947,80.0,1.8137971344323844,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_affine_ridge_light,misspecified,affine_miscalibrated,main,True,cross,isotonic,value_bellman,0.8,0.8,0,100,1.783341404641522,0.2546772195238398,1.7386797733550392,0.2519066288713526,80.0,0.405329645540658,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_affine_ridge_light,misspecified,affine_miscalibrated,main,True,cross,isotonic,value_bellman,0.8,0.8,1,100,1.2233740446032686,0.14395641363724485,1.18037321798276,0.14426312307218872,80.0,0.7466196372534409,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_affine_ridge_light,misspecified,affine_miscalibrated,main,True,cross,isotonic,value_bellman,0.8,0.8,2,100,0.9663415115467473,0.08642208212270167,0.9280641209086453,0.08695245819348989,80.0,0.9495664681179267,0.0,1.0
final,model_misspecification_sweep,nonlinear_discrete_action,nonlinear_synthetic,500,6,moderate,0.75,0.2,affine,linear_fqe,linear_fqe_affine_ridge_light,misspecified,affine_miscalibrated,main,True,cross,isotonic,value_bellman,0.8,0.8,3,100,0.9439958224981853,0.07652605574305878,0.9060287034984706,0.07667149822799034,80.0,1.1098148266528403,0.0,1.0
